Date,Open,High,Low,Close,Adj Close,Volume
2023-07-11,66.580002,67.419998,66.580002,67.209999,67.209999,1775900
2023-07-12,67.379997,67.419998,66.559998,67.000000,67.000000,1143400
2023-07-13,68.000000,68.099998,67.430000,67.519997,67.519997,1252700
2023-07-14,67.489998,67.839996,67.070000,67.559998,67.559998,1427000
2023-07-17,68.290001,70.910004,68.150002,70.550003,70.550003,3162000
2023-07-18,69.099998,70.779999,68.379997,70.709999,70.709999,4545500
2023-07-19,70.550003,71.160004,70.160004,70.540001,70.540001,4544600
2023-07-20,70.150002,71.080002,69.940002,71.010002,71.010002,2783400
2023-07-21,70.699997,70.720001,70.129997,70.449997,70.449997,1902400
2023-07-24,70.360001,70.760002,69.779999,70.059998,70.059998,1878300
2023-07-25,70.720001,70.959999,70.300003,70.500000,70.500000,1730700
2023-07-26,70.019997,71.389999,70.019997,70.809998,70.809998,2175900
2023-07-27,70.379997,70.540001,68.260002,68.269997,68.269997,1541600
2023-07-28,68.430000,68.500000,67.889999,68.089996,68.089996,1508000
2023-07-31,68.599998,69.029999,68.040001,68.279999,68.279999,903900
2023-08-01,68.370003,68.370003,67.540001,67.550003,67.550003,1165500
2023-08-02,67.050003,67.059998,66.150002,66.680000,66.680000,1368600
2023-08-03,66.000000,66.739998,65.900002,66.279999,66.279999,1216900
2023-08-04,67.120003,67.419998,66.720001,66.830002,66.830002,1378300
2023-08-07,66.839996,67.360001,66.750000,66.959999,66.959999,1359900
2023-08-08,66.620003,67.029999,66.169998,66.519997,66.519997,950600
2023-08-09,66.669998,67.120003,66.580002,66.830002,66.830002,1002400
2023-08-10,66.889999,67.540001,66.470001,66.570000,66.570000,1128700
2023-08-11,66.250000,66.669998,66.050003,66.320000,66.320000,932700
2023-08-14,65.870003,65.879997,64.730003,65.099998,65.099998,1328500
2023-08-15,64.610001,65.040001,63.740002,63.860001,63.860001,2022500
2023-08-16,64.059998,64.349998,63.500000,63.570000,63.570000,1949500
2023-08-17,63.959999,63.959999,63.240002,63.240002,63.240002,1385800
2023-08-18,63.000000,63.070000,62.439999,62.849998,62.849998,2737300
2023-08-21,63.290001,63.820000,62.889999,63.660000,63.660000,2134600
2023-08-22,63.419998,63.869999,62.770000,62.959999,62.959999,2132200
2023-08-23,63.500000,63.880001,63.049999,63.830002,63.830002,1791600
2023-08-24,63.380001,63.549999,63.049999,63.049999,63.049999,1176400
2023-08-25,63.000000,63.360001,62.389999,62.730000,62.730000,1672000
2023-08-28,63.209999,63.529999,62.869999,63.480000,63.480000,1242700
2023-08-29,63.500000,63.770000,63.020000,63.619999,63.619999,1770500
2023-08-30,63.560001,63.980000,63.060001,63.680000,63.680000,1021300
2023-08-31,62.990002,63.180000,62.279999,62.310001,62.310001,2659700
2023-09-01,63.150002,63.720001,62.759998,62.799999,62.799999,1686400
2023-09-05,62.939999,63.169998,62.290001,62.320000,62.320000,931300
2023-09-06,62.959999,63.340000,62.900002,62.950001,62.950001,1432600
2023-09-07,63.259998,63.419998,63.029999,63.160000,63.160000,1664000
2023-09-08,63.740002,64.669998,63.650002,64.360001,64.360001,1732000
2023-09-11,64.820000,65.470001,64.709999,65.220001,65.220001,1521400
2023-09-12,65.150002,65.730003,65.059998,65.559998,65.559998,1080300
2023-09-13,65.639999,66.019997,65.389999,65.519997,65.519997,1214800
2023-09-14,65.940002,66.209999,65.449997,66.199997,66.199997,1068200
2023-09-15,66.139999,66.199997,64.930000,65.019997,65.019997,3159000
2023-09-18,64.470001,64.910004,63.259998,63.400002,63.400002,2827100
2023-09-19,63.500000,63.599998,62.720001,62.939999,62.939999,1808800
2023-09-20,61.779999,61.970001,59.160000,59.160000,59.160000,9679900
2023-09-21,59.610001,59.740002,58.700001,59.389999,59.389999,7100500
2023-09-22,59.230000,59.590000,58.680000,58.869999,58.869999,2933200
2023-09-25,58.970001,58.990002,58.490002,58.630001,58.630001,2999700
2023-09-26,58.750000,59.139999,57.950001,58.209999,58.209999,2722000
2023-09-27,58.200001,58.660000,58.070000,58.439999,58.439999,2553000
2023-09-28,58.490002,59.330002,58.419998,59.130001,59.130001,2111200
2023-09-29,59.419998,59.580002,58.880001,59.009998,59.009998,2295800
2023-10-02,59.099998,59.110001,57.599998,57.919998,57.919998,2030500
2023-10-03,57.639999,58.040001,57.310001,57.520000,57.520000,2255500
2023-10-04,58.520000,59.580002,58.419998,59.259998,59.259998,3022100
2023-10-05,59.180000,59.470001,58.880001,59.279999,59.279999,1365400
2023-10-06,58.730000,59.470001,58.619999,59.290001,59.290001,964500
2023-10-09,58.250000,58.900002,58.139999,58.869999,58.869999,1159900
2023-10-10,59.250000,59.459999,58.980000,59.020000,59.020000,1691300
2023-10-11,59.160000,59.799999,58.689999,59.119999,59.119999,1772200
2023-10-12,59.330002,59.799999,58.680000,58.799999,58.799999,1619200
2023-10-13,58.470001,58.889999,58.099998,58.200001,58.200001,2118500
2023-10-16,59.090000,59.700001,58.720001,59.009998,59.009998,3762600
2023-10-17,58.970001,59.090000,58.029999,58.240002,58.240002,3461600
2023-10-18,57.810001,58.020000,57.180000,57.400002,57.400002,3645700
2023-10-19,57.669998,57.869999,56.910000,57.250000,57.250000,2057700
2023-10-20,57.459999,57.770000,57.209999,57.270000,57.270000,1845000
2023-10-23,57.049999,57.270000,56.580002,56.650002,56.650002,2187000
2023-10-24,56.560001,57.139999,56.459999,57.060001,57.060001,2033000
2023-10-25,56.520000,57.610001,56.430000,57.299999,57.299999,2061900
2023-10-26,56.220001,56.959999,56.150002,56.820000,56.820000,3005400
2023-10-27,57.040001,57.160000,56.290001,56.330002,56.330002,2304100
2023-10-30,56.930000,57.360001,56.919998,57.299999,57.299999,1554900
2023-10-31,56.880001,56.930000,56.049999,56.549999,56.549999,1676000
